"Variable","Overall"
"age","73.47 (6.11)"
"sex",""
"    Female","266 (63.0%)"
"    Male","156 (37.0%)"
"education",""
"    High School or Less","89 (21.1%)"
"    Trade School/University Degree","333 (78.9%)"
"income",""
"    $15,000 or less","3 (0.8%)"
"    $15,000 to $30,000","45 (10.7%)"
"    $30,000 to $50,000","80 (18.9%)"
"    $50,000 to $80,000","111 (26.3%)"
"    $80,000 or more","183 (43.3%)"
"employment",""
"    Full- or Part-Time Work","31 (7.4%)"
"    Not in Workforce","391 (92.6%)"
"driving_freq",""
"    Do not drive","26 (6.1%)"
"    Less than 1 day/week","30 (7.1%)"
"    1-3 days/week","117 (27.7%)"
"    4-7 days/week","250 (59.1%)"
"prov_terr",""
"    Western Canada","166 (39.3%)"
"    Central Canada","109 (25.8%)"
"    Atlantic Canada","140 (33.2%)"
"    Territories","7 (1.7%)"
"phq2_score","1.33 (1.55)"
"osss_3_score","10.21 (2.26)"
"gen_health",""
"    Poor","17 (4.0%)"
"    Fair","76 (18.0%)"
"    Good","146 (34.6%)"
"    Very good","145 (34.4%)"
"    Excellent","38 (9.0%)"
"med_quant","6.36 (4.02)"
"n_physical_conditions","3.39 (2.33)"
"n_ment_conditions","0.77 (0.95)"
"n_sleep_conditions","1.42 (0.68)"
"n_health_conditions","5.58 (3.01)"
"c_lengthofuse","11.98 (9.77)"
"fall2",""
"    No fall / not injured","260 (67.4%)"
"    Minor injury","39 (10.1%)"
"    Serious injury","87 (22.5%)"
"alc_use",""
"    Never","93 (22.0%)"
"    Low (<1 drink/wk)","113 (26.8%)"
"    Moderate (1-7 drinks/wk)","127 (30.1%)"
"    High (8-14 drinks/wk)","69 (16.4%)"
"    Very high (>14 drinks/wk)","20 (4.7%)"
"alc_sleep",""
"    Never","401 (95.0%)"
"    <1 day/week","4 (0.9%)"
"    1-3 days/week","7 (1.7%)"
"    4-6 days/week","4 (0.9%)"
"    7 days/week","6 (1.4%)"
"can_sleep",""
"    Never","368 (87.2%)"
"    <1 day/week","20 (4.7%)"
"    1-3 days/week","8 (1.9%)"
"    4-6 days/week","5 (1.2%)"
"    7 days/week","21 (5.0%)"
"melatonin_use",""
"    Never","321 (76.1%)"
"    <1 day/week","29 (6.9%)"
"    1-3 days/week","13 (3.1%)"
"    4-6 days/week","19 (4.5%)"
"    7 days/week","40 (9.5%)"
"op_sleep",""
"    Never","415 (98.3%)"
"    <1 day/week","2 (0.5%)"
"    1-3 days/week","2 (0.5%)"
"    4-6 days/week","0 (0.0%)"
"    7 days/week","3 (0.7%)"
"wdl_symptom_count","1.22 (0.97)"
"benefitsC","3.80 (0.71)"
"side_effectsC","2.23 (0.72)"
"adlsC","1.88 (0.86)"
"dependenceC","3.29 (0.94)"
"motivationC","2.79 (0.96)"
"capabilityC","3.06 (1.07)"
"pharmacistC","2.86 (0.62)"
"prescriberC","2.84 (0.83)"
"BFI_Extraversion","3.22 (1.04)"
"BFI_Agreeableness","3.84 (0.84)"
"BFI_Conscientiousness","4.18 (0.82)"
"BFI_Neuroticism","2.91 (1.04)"
"BFI_Openness","3.58 (0.89)"
"SURPS_Impulsivity","2.00 (0.47)"
"SURPS_Sensation_Seeking","1.99 (0.49)"
"SURPS_Hopelessness","2.02 (0.48)"
"SURPS_Anxiety_Sensitivity","2.59 (0.49)"
"DBAS_Consequences","6.10 (1.95)"
"DBAS_Worry_Helplessness","5.54 (1.93)"
"DBAS_Expectations","6.23 (2.28)"
"DBAS_Medications","5.63 (1.96)"
"DBAS_Total","5.89 (1.56)"
"CISS_Task","3.71 (0.64)"
"CISS_Emotion","2.77 (0.79)"
"CISS_Avoidance","2.82 (0.74)"
