"","stopped_bzra","DBAS_Medications","SURPS_Hopelessness","CISS_Emotion","BFI_Neuroticism","DBAS_Consequences","capabilityC","side_effectsC","bzra_daily_diazepam_eq","stop_wdl_exp_combined","wdl_symptom_count","n_sleep_conditions","c_lengthofuse","DBAS_Worry_Helplessness","DBAS_Expectations","DBAS_Total","CISS_Task","CISS_Avoidance","BFI_Extraversion","BFI_Agreeableness","BFI_Conscientiousness","BFI_Openness","SURPS_Impulsivity","SURPS_Sensation_Seeking","SURPS_Anxiety_Sensitivity","benefitsC","adlsC","dependenceC","motivationC","gen_health","osss_3_score","phq2_score","med_quant"
"stopped_bzra","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Medications","r","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SURPS_Hopelessness","r","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISS_Emotion","r","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFI_Neuroticism","r","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Consequences","r","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"capabilityC","r","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,
"side_effectsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,
"bzra_daily_diazepam_eq","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,
"stop_wdl_exp_combined","V","η","η","η","η","η","η","η","η","ρ",,,,,,,,,,,,,,,,,,,,,,,
"wdl_symptom_count","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ",,,,,,,,,,,,,,,,,,,,,,
"n_sleep_conditions","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ",,,,,,,,,,,,,,,,,,,,,
"c_lengthofuse","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,
"DBAS_Worry_Helplessness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,
"DBAS_Expectations","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,
"DBAS_Total","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,
"CISS_Task","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,
"CISS_Avoidance","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,
"BFI_Extraversion","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,
"BFI_Agreeableness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,
"BFI_Conscientiousness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,
"BFI_Openness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,
"SURPS_Impulsivity","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,
"SURPS_Sensation_Seeking","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,
"SURPS_Anxiety_Sensitivity","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,
"benefitsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,
"adlsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,
"dependenceC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,
"motivationC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,
"gen_health","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,
"osss_3_score","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,
"phq2_score","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",
"med_quant","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ"
